0.5618,0.1885,2.2779,0.8142,1.8365,0.9209,0.9834,0.707,-0.1561,-0.0517,-0.4602,-0.0077,-1.1366,0.1214,-0.8434,0.0661,0.2247,0.9919,0.2217,-0.1864,-0.4402,0.5014,-0.0694,-0.5267,0.1074,-1.2999,0.056,-0.5463,-0.2284,1.3959,-0.3397,0.5529,0.7344,0.5976,0.2598
0.7095,2.7003,1.0552,1.1587,1.5048,-0.2924,1.5084,0.5991,-0.484,0.574,-1.0418,0.6573,-0.1102,-0.0701,-1.5709,0.6303,0.1733,-0.327,-0.6492,0.5471,0.2437,0.0036,-0.6918,0.212,0.1703,0.9211,-0.8382,-0.5011,1.3605,0.1341,0.1769,0.6762,1.2687,-0.8133,1.5273
0.362,1.4369,-0.5542,1.9488,1.3221,0.9836,1.3337,1.5539,0.156,0.5418,-0.6859,0.5684,0.4254,1.0075,0.1219,0.2145,-0.6463,-0.0004,0.428,0.4943,1.1992,0.323,-0.0649,0.3897,-0.3902,0.9275,-0.4855,-0.2836,-0.7528,0.058,0.4516,1.1573,-0.0402,-0.1571,-1.868
2.103,0.109,1.2107,0.2763,0.4239,1.3258,0.6035,-0.3134,-0.5591,0.5052,0.2782,0.5079,-0.4219,-0.742,-0.5732,-0.5252,-0.0328,-0.8288,0.7458,0.361,-0.6052,-0.139,-0.6207,-0.1045,-0.5844,1.4996,-1.1135,-0.8887,-0.1665,0.0656,0.0701,0.6424,0.3098,-0.6452,0.7435
1.1898,1.7208,0.786,1.5131,-1.1559,0.41,0.1112,1.2413,-0.5177,0.6829,0.5512,-0.4252,0.1671,-0.1501,0.0815,0.5248,-0.2282,-1.1593,0.4169,0.7507,-1.1898,-0.0256,-0.6522,0.7889,0.8277,-0.5668,-0.9209,0.1713,-0.7764,0.6004,-0.0918,1.1239,1.155,1.0864,0.2821
1.0487,0.562,1.1756,-0.1685,1.4501,0.3965,1.5246,1.0302,0.4379,-0.3877,-0.8013,-0.8137,-1.201,-0.2684,-0.4112,0.7083,-0.7235,1.5358,-0.7011,-0.6352,-1.036,0.0068,-0.2253,-0.0755,0.2848,0.6879,-0.8189,0.0137,0.5987,-0.7659,1.935,1.6389,-0.0526,-0.7747,-0.6846
1.1559,0.5473,0.6604,0.9019,0.4868,1.0,0.7798,0.6121,-0.6794,0.2839,-1.6863,0.1836,0.0104,-0.5691,-0.9726,0.2928,-0.173,0.097,-1.2862,0.3336,0.6578,-0.1069,-0.6278,0.3039,-0.1989,0.6043,0.0145,-1.4996,-1.6444,-0.4973,0.317,-0.3446,0.3445,-0.4635,1.4438
0.7954,0.727,1.5833,0.607,1.3759,1.6442,0.7936,1.0632,0.4858,0.3237,0.6225,-0.7311,-0.449,-0.8817,1.1802,-1.173,0.9245,0.3306,-0.6133,-0.89,-0.0266,-0.1571,0.2768,-1.5396,-0.132,-0.6136,0.8936,0.2865,-0.3553,0.9949,-0.305,-0.0728,0.1894,0.6365,0.0083
1.7443,0.4687,0.0634,1.8648,0.5306,1.1653,1.2878,2.2079,-0.208,0.3694,-0.5481,-0.3369,-0.5305,0.5929,0.6439,0.2582,-0.543,-0.4557,-0.4913,0.2498,-1.1067,-0.2777,-0.9374,0.3545,-0.6938,1.3707,0.7318,-0.0624,0.2894,0.3279,-0.6722,0.8667,-0.067,-0.5375,0.3791
1.7913,1.4707,0.614,0.2908,0.0844,0.8847,1.0405,1.688,0.2498,-0.2467,0.9621,0.5735,-0.4814,-0.0582,0.4623,0.2134,-0.7055,0.1231,-0.4729,0.0444,-0.9098,-0.6236,1.469,-0.2984,0.7794,-0.0881,-0.842,-0.756,-0.5551,1.502,-0.1618,0.1267,0.4773,0.3532,0.6055
0.6643,0.8945,0.1979,1.5326,1.1389,0.6555,1.9702,0.5389,1.0845,0.2049,0.5303,-0.257,-1.3088,0.3355,-0.8315,-0.4289,0.0531,-0.4492,-0.0222,0.1397,-1.0319,0.1919,-0.4348,-0.7476,-1.401,-1.0881,0.0168,0.0297,0.3629,1.201,0.9493,0.697,0.8305,0.1266,0.1139
